Salesdate;Product;Price;Amount;Sales;PaymethodID;Customer ID;Costs;Deliverydate;DelcompID;OrderID
1-1-2019;5-Bear Survival Edge;60;85;5100;1;528;4233;3-1-2019;DC2;20191100000
1-1-2019;132-TrailChef Cup;179;49;8771;3;252;7192,22;5-1-2019;DC1;20191100001
1-1-2019;140-Trendi;191;76;14516;5;355;11903,12;4-1-2019;DC4;20191100002
1-1-2019;46-Firefly Multi-light;248;85;21080;2;637;17918;2-1-2019;DC1;20191100003
1-1-2019;84-Infinity;138;64;8832;3;356;7153,92;4-1-2019;DC4;20191100004
1-1-2019;130-TrailChef Canteen;52;78;4056;1;608;3042;5-1-2019;DC4;20191100005
1-1-2019;40-Firefly 4;169;94;15886;6;;12708,8;5-1-2019;DC4;20191100006
1-1-2019;30-Deluxe Family Relief Kit;184;70;12880;3;;10175,2;2-1-2019;DC4;20191100007
1-1-2019;38-Fairway;78;34;2652;5;;1962,48;3-1-2019;DC4;20191100008
1-1-2019;19-Canyon Mule Journey Backpack;143;4;572;4;309;383,24;3-1-2019;DC4;20191100009
1-1-2019;7-Blue Steel Max Putter;176;26;4576;6;26;3798,08;2-1-2019;DC3;20191100010
1-1-2019;92-Lux;223;95;21185;6;396;15041,35;2-1-2019;DC1;20191100011
1-1-2019;1-Aloe Relief;81;48;3888;6;88;3149,28;3-1-2019;DC2;20191100012
1-1-2019;40-Firefly 4;169;8;1352;1;409;1081,6;3-1-2019;DC1;20191100013
1-1-2019;69-Hawk Eye;149;68;10132;7;477;8409,56;2-1-2019;DC4;20191100014
1-1-2019;76-Hibernator Self - Inflating Mat;51;35;1785;6;83;1499,4;4-1-2019;DC4;20191100015
1-1-2019;33-EverGlow Butane;233;76;17708;1;613;12572,68;3-1-2019;DC4;20191100016
1-1-2019;122-Sun Blocker;77;75;5775;6;322;4215,75;5-1-2019;DC1;20191100017
1-1-2019;24-Course Pro Gloves;64;67;4288;3;380;2872,96;3-1-2019;DC3;20191100018
1-1-2019;61-Granite Ice;165;7;1155;1;338;947,1;5-1-2019;DC1;20191100019
1-1-2019;1-Aloe Relief;81;99;8019;2;554;6495,39;2-1-2019;DC2;20191100020
1-1-2019;66-Hailstorm Steel Woods Set;100;97;9700;1;639;6402;4-1-2019;DC2;20191100021
1-1-2019;45-Firefly Mapreader;168;11;1848;5;245;1570,8;4-1-2019;DC1;20191100022
1-1-2019;1-Aloe Relief;81;49;3969;5;674;3214,89;2-1-2019;DC4;20191100023
1-1-2019;33-EverGlow Butane;233;22;5126;2;690;3639,46;3-1-2019;DC3;20191100024
1-1-2019;97-Mountain Man Deluxe;66;31;2046;4;438;1493,58;5-1-2019;DC3;20191100025
1-1-2019;99-Mountain Man Extreme;117;27;3159;1;395;2653,56;5-1-2019;DC4;20191100026
1-1-2019;76-Hibernator Self - Inflating Mat;51;33;1683;1;44;1413,72;3-1-2019;DC4;20191100027
1-1-2019;136-TrailChef Kitchen Kit;203;30;6090;3;301;4872;2-1-2019;DC2;20191100028
1-1-2019;136-TrailChef Kitchen Kit;203;92;18676;1;448;14940,8;3-1-2019;DC2;20191100029
1-1-2019;86-Kodiak;227;82;18614;3;20;12285,24;4-1-2019;DC2;20191100030
1-1-2019;21-Capri;222;16;3552;4;243;2664;3-1-2019;DC1;20191100031
1-1-2019;72-Hibernator Extreme;249;84;20916;2;220;15477,84;5-1-2019;DC3;20191100032
1-1-2019;20-Canyon Mule Weekender Backpack;84;10;840;1;520;546;4-1-2019;DC3;20191100033
1-1-2019;100-Opera Vision;77;21;1617;4;528;1115,73;3-1-2019;DC4;20191100034
1-1-2019;3-Auto Pilot;81;41;3321;7;135;2225,07;5-1-2019;DC1;20191100035
1-1-2019;132-TrailChef Cup;179;36;6444;2;553;5284,08;2-1-2019;DC1;20191100036
1-1-2019;48-Flicker Lantern;177;34;6018;1;175;4032,06;3-1-2019;DC4;20191100037
1-1-2019;5-Bear Survival Edge;60;60;3600;3;642;2988;4-1-2019;DC2;20191100038
1-1-2019;16-Canyon Mule Climber Backpack;186;89;16554;2;645;11422,26;2-1-2019;DC3;20191100039
1-1-2019;30-Deluxe Family Relief Kit;184;57;10488;7;231;8285,52;3-1-2019;DC2;20191100040
1-1-2019;29-Dante;178;66;11748;3;367;9868,32;5-1-2019;DC3;20191100041
1-1-2019;113-Seeker Mini;237;15;3555;4;43;2808,45;4-1-2019;DC1;20191100042
1-1-2019;44-Firefly Lite;159;75;11925;3;543;8347,5;3-1-2019;DC3;20191100043
1-1-2019;107-Ranger Vision;111;64;7104;1;429;6038,4;4-1-2019;DC2;20191100044
1-1-2019;102-Polar Extreme;185;38;7030;4;581;5553,7;3-1-2019;DC2;20191100045
1-1-2019;91-Legend;175;79;13825;3;695;11060;3-1-2019;DC4;20191100046
1-1-2019;136-TrailChef Kitchen Kit;203;91;18473;5;424;14778,4;4-1-2019;DC2;20191100047
1-1-2019;31-Double Edge;124;92;11408;4;394;8441,92;5-1-2019;DC3;20191100048
1-1-2019;112-Seeker Extreme;115;18;2070;4;203;1449;4-1-2019;DC4;20191100049
1-1-2019;28-Course Pro Umbrella;136;51;6936;3;178;4716,48;3-1-2019;DC3;20191100050
1-1-2019;47-Firefly Rechargeable Battery;187;8;1496;4;349;1017,28;3-1-2019;DC1;20191100051
1-1-2019;11-BugShield Lotion Lite;65;15;975;2;686;702;3-1-2019;DC2;20191100052
